sample_index,prediction
0.0,low_pain
1.0,low_pain
2.0,low_pain
3.0,low_pain
4.0,low_pain
5.0,low_pain
6.0,low_pain
7.0,low_pain
8.0,low_pain
9.0,low_pain
10.0,low_pain
11.0,low_pain
12.0,low_pain
13.0,low_pain
14.0,low_pain
15.0,low_pain
16.0,low_pain
17.0,low_pain
18.0,low_pain
19.0,low_pain
20.0,low_pain
21.0,low_pain
22.0,low_pain
23.0,low_pain
24.0,low_pain
25.0,low_pain
26.0,low_pain
27.0,low_pain
28.0,low_pain
29.0,low_pain
30.0,low_pain
31.0,low_pain
32.0,low_pain
33.0,low_pain
34.0,low_pain
35.0,low_pain
36.0,low_pain
37.0,low_pain
38.0,low_pain
39.0,low_pain
40.0,low_pain
41.0,low_pain
42.0,low_pain
43.0,low_pain
44.0,low_pain
45.0,low_pain
46.0,low_pain
47.0,low_pain
48.0,low_pain
49.0,low_pain
50.0,low_pain
51.0,low_pain
52.0,low_pain
53.0,low_pain
54.0,low_pain
55.0,low_pain
56.0,low_pain
57.0,low_pain
58.0,low_pain
59.0,low_pain
60.0,low_pain
61.0,low_pain
62.0,low_pain
63.0,low_pain
64.0,low_pain
65.0,low_pain
66.0,low_pain
67.0,low_pain
68.0,low_pain
69.0,low_pain
70.0,low_pain
71.0,low_pain
72.0,low_pain
73.0,low_pain
74.0,low_pain
75.0,low_pain
76.0,low_pain
77.0,low_pain
78.0,low_pain
79.0,low_pain
80.0,low_pain
81.0,low_pain
82.0,low_pain
83.0,low_pain
84.0,low_pain
85.0,low_pain
86.0,low_pain
87.0,low_pain
88.0,low_pain
89.0,low_pain
90.0,low_pain
91.0,low_pain
92.0,low_pain
93.0,low_pain
94.0,low_pain
95.0,low_pain
96.0,low_pain
97.0,low_pain
98.0,low_pain
99.0,low_pain
100.0,low_pain
101.0,low_pain
102.0,low_pain
103.0,low_pain
104.0,low_pain
105.0,low_pain
106.0,low_pain
107.0,low_pain
108.0,low_pain
109.0,low_pain
110.0,low_pain
111.0,low_pain
112.0,low_pain
113.0,low_pain
114.0,low_pain
115.0,low_pain
116.0,low_pain
117.0,low_pain
118.0,low_pain
119.0,low_pain
120.0,low_pain
121.0,low_pain
122.0,low_pain
123.0,low_pain
124.0,low_pain
125.0,low_pain
126.0,low_pain
127.0,low_pain
128.0,low_pain
129.0,low_pain
130.0,low_pain
131.0,low_pain
132.0,low_pain
133.0,low_pain
134.0,low_pain
135.0,low_pain
136.0,low_pain
137.0,low_pain
138.0,low_pain
139.0,low_pain
140.0,low_pain
141.0,low_pain
142.0,low_pain
143.0,low_pain
144.0,low_pain
145.0,low_pain
146.0,low_pain
147.0,low_pain
148.0,low_pain
149.0,low_pain
150.0,low_pain
151.0,low_pain
152.0,low_pain
153.0,low_pain
154.0,low_pain
155.0,low_pain
156.0,low_pain
157.0,low_pain
158.0,low_pain
159.0,low_pain
160.0,low_pain
161.0,low_pain
162.0,low_pain
163.0,low_pain
164.0,low_pain
165.0,low_pain
166.0,low_pain
167.0,low_pain
168.0,low_pain
169.0,low_pain
170.0,low_pain
171.0,low_pain
172.0,low_pain
173.0,low_pain
174.0,low_pain
175.0,low_pain
176.0,low_pain
177.0,low_pain
178.0,low_pain
179.0,low_pain
180.0,low_pain
181.0,low_pain
182.0,low_pain
183.0,low_pain
184.0,low_pain
185.0,low_pain
186.0,low_pain
187.0,low_pain
188.0,low_pain
